gid,crop,activity,start_time,end_time
1813.0,Teff,flowering,2020-09-03,2020-10-01
1813.0,Teff,harvesting,2020-10-21,2020-12-10
1813.0,Teff,planting,2020-07-12,2020-08-06
1813.0,Teff,prep,2020-03-10,2020-07-07
1813.0,Teff,tasseling,2020-10-02,2020-10-16
1814.0,Maize,flowering,2020-08-07,2020-08-22
1814.0,Maize,harvesting,2020-10-27,2020-11-10
1814.0,Maize,planting,2020-05-09,2020-05-24
1814.0,Maize,prep,2020-03-10,2020-05-08
1814.0,Maize,tasseling,2020-08-27,2020-09-27
1814.0,Teff,flowering,2020-09-12,2020-09-27
1814.0,Teff,harvesting,2020-11-11,2020-12-26
1814.0,Teff,planting,2020-07-08,2020-07-23
1814.0,Teff,prep,2020-01-10,2020-06-23
1814.0,Teff,tasseling,2020-10-12,2020-10-27
1815.0,Maize,flowering,2020-07-28,2020-08-11
1815.0,Maize,harvesting,2020-10-11,2020-11-09
1815.0,Maize,planting,2020-05-09,2020-05-28
1815.0,Maize,prep,2020-03-10,2020-05-05
1815.0,Maize,tasseling,2020-08-21,2020-09-22
1815.0,Millet,flowering,2020-09-05,2020-10-11
